timestamp,open,high,low,close,volume
2021-04-06,126.5000,127.1300,125.6500,126.2100,80171253
2021-04-05,123.8700,126.1601,123.0700,125.9000,88651175
2021-04-01,123.6600,124.1800,122.4900,123.0000,75089134
2021-03-31,121.6500,123.5200,121.1500,122.1500,118323826
2021-03-30,120.1100,120.4031,118.8600,119.9000,85671919
2021-03-29,121.6500,122.5800,120.7299,121.3900,80819203
2021-03-26,120.3500,121.4800,118.9200,121.2100,94071234
2021-03-25,119.5400,121.6600,119.0000,120.5900,98844681
2021-03-24,122.8200,122.9000,120.0650,120.0900,88530485
2021-03-23,123.3300,124.2400,122.1400,122.5400,95467142
2021-03-22,120.3300,123.8700,120.2600,123.3900,111912284
2021-03-19,119.9000,121.4300,119.6750,119.9900,185549522
2021-03-18,122.8800,123.1800,120.3200,120.5300,121469755
2021-03-17,124.0500,125.8599,122.3360,124.7600,111932636
2021-03-16,125.7000,127.2200,124.7150,125.5700,115227936
2021-03-15,121.4100,124.0000,120.4200,123.9900,92590555
2021-03-12,120.4000,121.1700,119.1600,121.0300,88105050
2021-03-11,122.5400,123.2100,121.2600,121.9600,103026514
2021-03-10,121.6900,122.1700,119.4500,119.9800,111943326
2021-03-09,119.0300,122.0600,118.7900,121.0850,129525780
2021-03-08,120.9300,121.0000,116.2100,116.3600,154376610
2021-03-05,120.9800,121.9350,117.5700,121.4200,153766601
2021-03-04,121.7500,123.6000,118.6200,120.1300,178154975
2021-03-03,124.8100,125.7100,121.8400,122.0600,112966340
2021-03-02,128.4100,128.7200,125.0100,125.1200,102260945
2021-03-01,123.7500,127.9300,122.7900,127.7900,116307892
2021-02-26,122.5900,124.8500,121.2000,121.2600,163424672
2021-02-25,124.6800,126.4585,120.5400,120.9900,144766924
2021-02-24,124.9400,125.5600,122.2300,125.3500,111039904
2021-02-23,123.7600,126.7100,118.3900,125.8600,158273022
2021-02-22,128.0100,129.7200,125.6000,126.0000,102886922
2021-02-19,130.2400,130.7100,128.8000,129.8700,87668834
2021-02-18,129.2000,129.9950,127.4100,129.7100,96856748
2021-02-17,131.2500,132.2200,129.4700,130.8400,97372199
2021-02-16,135.4900,136.0100,132.7900,133.1900,80576316
2021-02-12,134.3500,135.5300,133.6921,135.3700,60145130
2021-02-11,135.9000,136.3900,133.7700,135.1300,64280029
2021-02-10,136.4800,136.9900,134.4000,135.3900,72647988
2021-02-09,136.6200,137.8770,135.8500,136.0100,75986989
2021-02-08,136.0300,136.9600,134.9200,136.9100,71297214
2021-02-05,137.3500,137.4200,135.8600,136.7600,75693830
2021-02-04,136.3000,137.4000,134.5900,137.3900,84183061
2021-02-03,135.7600,135.7700,133.6100,133.9400,89880937
2021-02-02,135.7300,136.3100,134.6100,134.9900,82266419
2021-02-01,133.7500,135.3800,130.9300,134.1400,106239823
2021-01-29,135.8300,136.7400,130.2100,131.9600,177523812
2021-01-28,139.5200,141.9900,136.7000,137.0900,142621128
2021-01-27,143.4300,144.3000,140.4100,142.0600,140843759
2021-01-26,143.6000,144.3000,141.3700,143.1600,98390555
2021-01-25,143.0700,145.0900,136.5400,142.9200,157611713
2021-01-22,136.2800,139.8500,135.0200,139.0700,114459360
2021-01-21,133.8000,139.6700,133.5900,136.8700,120529544
2021-01-20,128.6600,132.4900,128.5500,132.0300,104319489
2021-01-19,127.7800,128.7100,126.9380,127.8300,90757329
2021-01-15,128.7800,130.2242,127.0000,127.1400,111598531
2021-01-14,130.8000,131.0000,128.7600,128.9100,90221755
2021-01-13,128.7600,131.4500,128.4900,130.8900,88636831
2021-01-12,128.5000,129.6900,126.8600,128.8000,90440255
2021-01-11,129.1900,130.1700,128.5000,128.9800,100620880
2021-01-08,132.4300,132.6300,130.2300,132.0500,105158245
2021-01-07,128.3600,131.6300,127.8600,130.9200,109578157
2021-01-06,127.7200,131.0499,126.3820,126.6000,155087970
2021-01-05,128.8900,131.7400,128.4300,131.0100,97664898
2021-01-04,133.5200,133.6116,126.7600,129.4100,143301887
2020-12-31,134.0800,134.7400,131.7200,132.6900,99116586
2020-12-30,135.5800,135.9900,133.4000,133.7200,96452124
2020-12-29,138.0500,138.7890,134.3409,134.8700,121047324
2020-12-28,133.9900,137.3400,133.5100,136.6900,123124632
2020-12-24,131.3200,133.4600,131.1000,131.9700,54930064
2020-12-23,132.1600,132.4300,130.7800,130.9600,88223692
2020-12-22,131.6100,134.4050,129.6500,131.8800,169351825
2020-12-21,125.0200,128.3100,123.4490,128.2300,121251553
2020-12-18,128.9600,129.1000,126.1200,126.6550,192541496
2020-12-17,128.9000,129.5800,128.0450,128.7000,94359811
2020-12-16,127.4100,128.3700,126.5600,127.8100,98208591
2020-12-15,124.3400,127.9000,124.1300,127.8800,157572262
2020-12-14,122.6000,123.3500,121.5400,121.7800,79075988
2020-12-11,122.4300,122.7600,120.5500,122.4100,86939786
2020-12-10,120.5000,123.8700,120.1500,123.2400,81312170
2020-12-09,124.5300,125.9500,121.0000,121.7800,115089193
2020-12-08,124.3700,124.9800,123.0900,124.3800,82225512
2020-12-07,122.3100,124.5700,122.2500,123.7500,86711990
2020-12-04,122.6000,122.8608,121.5200,122.2500,78260421
2020-12-03,123.5200,123.7800,122.2100,122.9400,78967630
2020-12-02,122.0200,123.3700,120.8900,123.0800,89004195
2020-12-01,121.0100,123.4693,120.0100,122.7200,125920963
2020-11-30,116.9700,120.9700,116.8100,119.0500,169410176
2020-11-27,116.5700,117.4900,116.2200,116.5900,46691331
2020-11-25,115.5500,116.7500,115.1700,116.0300,76499234
2020-11-24,113.9100,115.8500,112.5900,115.1700,113226248
2020-11-23,117.1800,117.6202,113.7500,113.8500,127959318
2020-11-20,118.6400,118.7700,117.2900,117.3400,73604287
2020-11-19,117.5900,119.0600,116.8100,118.6400,74112972
2020-11-18,118.6100,119.8200,118.0000,118.0300,76322111
2020-11-17,119.5500,120.6741,118.9600,119.3900,74270973
2020-11-16,118.9200,120.9900,118.1460,120.3000,91183018
2020-11-13,119.4400,119.6717,117.8700,119.2600,81688586
2020-11-12,119.6200,120.5300,118.5700,119.2100,103350674
2020-11-11,117.1900,119.6300,116.4400,119.4900,112294954
2020-11-10,115.5500,117.5900,114.1300,115.9700,138023390
2021-04-06,2210.9200,2228.0000,2201.7900,2209.2600,1762039
2021-04-05,2147.1500,2228.9900,2145.2050,2218.9600,2425480
2021-04-01,2092.2500,2135.7500,2091.4300,2129.7800,1994005
2021-03-31,2054.4000,2086.2600,2047.0000,2062.5200,2128482
2021-03-30,2052.9800,2062.6700,2036.1500,2046.4700,1365856
2021-03-29,2022.1600,2049.2100,2005.4500,2045.7900,1324631
2021-03-26,2031.7900,2039.3850,2003.8500,2024.7300,1398875
2021-03-25,2029.0500,2045.6400,1996.0900,2032.4600,1780787
2021-03-24,2051.7600,2067.6000,2029.0001,2032.5300,1260853
2021-03-23,2039.9500,2064.1100,2028.0001,2041.3300,1425456
2021-03-22,2027.6300,2048.3400,2014.0000,2030.6900,1676771
2021-03-19,2029.7300,2037.0400,2002.9300,2026.9600,2303596
2021-03-18,2048.1800,2068.7460,2019.1800,2021.3400,1585648
2021-03-17,2068.4700,2099.0000,2044.1218,2082.2200,1319126
2021-03-16,2065.9900,2113.6800,2059.2900,2083.8900,1595015
2021-03-15,2044.9750,2054.9900,2027.7900,2054.4400,1310741
2021-03-12,2076.4100,2077.6100,2032.4200,2050.0000,1690899
2021-03-11,2058.2200,2111.2700,2056.4500,2100.5400,1385130
2021-03-10,2061.4000,2061.4000,2019.3300,2036.1900,1355004
2021-03-09,2049.7500,2063.9153,2035.6000,2040.3600,1696031
2021-03-08,2084.0600,2113.7400,2005.1900,2007.5000,1843371
2021-03-05,2061.1500,2106.2000,2027.7773,2097.0700,2654977
2021-03-04,2014.8690,2074.5900,2005.4300,2033.9300,2460786
2021-03-03,2051.9500,2075.9900,1994.0000,2011.4100,1694645
